Pos,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
G,Leno,5.0,5.0,Arsenal,88,3.321,87,3.106,86,4.018,86,3.788,86,3.531,85,3.506
G,Rúnarsson,4.0,4.0,Arsenal,0,0,2,0.071,2,0.093,2,0.088,2,0.082,2,0.082
M,Willian,6.4,6.4,Arsenal,7,0.284,4,0.15,5,0.318,6,0.319,5,0.257,7,0.335
F,Aubameyang,9.9,9.9,Arsenal,53,2.158,72,2.767,72,4.744,75,3.957,72,3.703,73,3.488
D,Cédric,4.5,4.5,Arsenal,4,0.112,4,0.076,5,0.24,4,0.163,7,0.249,8,0.277
F,Lacazette,8.4,8.4,Arsenal,39,1.608,59,2.236,59,3.873,57,3.041,56,2.912,58,2.806
M,Xhaka,5.0,5.0,Arsenal,85,2.176,81,1.943,76,2.678,77,2.361,73,2.153,72,2.079
D,Marí,4.5,4.5,Arsenal,47,1.251,36,0.621,33,1.581,35,1.419,40,1.378,39,1.313
D,Bellerín,4.9,4.9,Arsenal,49,1.328,47,0.821,47,2.314,44,1.83,44,1.555,45,1.541
D,Chambers,4.5,4.5,Arsenal,43,1.243,41,0.778,40,2.136,45,1.988,43,1.618,43,1.557
D,Kolasinac,4.5,4.5,Arsenal,1,0.028,2,0.038,3,0.15,5,0.206,5,0.179,6,0.206
M,Elneny,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
M,Maitland-Niles,5.5,5.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
D,Holding,4.5,4.5,Arsenal,45,1.2,66,1.123,62,2.979,66,2.67,60,2.076,60,2.026
M,Partey,5.0,5.0,Arsenal,6,0.162,24,0.62,68,2.553,68,2.201,65,2.026,70,2.1
D,Tierney,5.0,5.0,Arsenal,86,2.467,84,1.555,83,4.424,80,3.576,80,3.045,77,2.841
M,Pépé,7.4,7.4,Arsenal,73,3.163,68,2.595,66,4.508,64,3.522,66,3.462,63,3.092
M,Torreira,4.5,4.5,Arsenal,4,0.12,4,0.115,1,0.036,1,0.033,3,0.096,2,0.063
M,Willock,6.0,6.0,Newcastle,61,2.253,60,2.482,63,1.967,57,2.366,59,2.265,59,2.16
F,Nketiah,5.5,5.5,Arsenal,0,0,0,0,0,0,0,0,1,0.062,0,0
M,Smith Rowe,5.5,5.5,Arsenal,68,2.501,63,2.114,63,3.413,59,2.677,59,2.568,58,2.385
M,Saka,6.5,6.5,Arsenal,58,2.361,51,1.887,53,3.308,53,2.717,52,2.55,53,2.433
D,Gabriel,5.0,5.0,Arsenal,29,0.792,28,0.496,27,1.301,27,1.1,26,0.908,26,0.884
D,Mavropanos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
M,Guendouzi,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
M,Martinelli,5.5,5.5,Arsenal,36,1.503,27,1.045,27,1.761,28,1.472,30,1.509,29,1.389
D,Saliba,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0
G,Steer,4.0,4.0,Aston Villa,0,0,0,0,1,0.035,1,0.041,1,0.035,2,0.072
M,Hourihane,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
G,Martínez,5.5,5.5,Aston Villa,89,3.933,88,3.769,87,3.134,87,3.665,87,3.162,86,3.187
D,Engels,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
M,Traoré,6.0,6.0,Aston Villa,22,1.207,19,1.014,20,0.732,22,1.106,21,0.821,24,0.98
M,Grealish,8.0,8.0,Man City,67,4.881,56,3.48,54,2.823,54,3.783,52,2.251,51,2.355
M,Sanson,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
M,McGinn,6.0,6.0,Aston Villa,85,3.245,80,2.996,80,2.147,77,2.745,77,2.199,76,2.286
D,Hause,4.5,4.5,Aston Villa,1,0.04,3,0.117,4,0.07,6,0.215,8,0.149,8,0.191
M,Trézéguet,5.5,5.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
D,Mings,5.0,5.0,Aston Villa,89,3.566,86,3.179,84,1.287,84,2.847,82,1.336,82,1.773
D,Targett,5.0,5.0,Aston Villa,87,3.533,83,3.137,82,1.308,82,2.87,80,1.361,80,1.792
F,Watkins,7.5,7.5,Aston Villa,36,1.932,52,2.717,52,1.852,49,2.44,48,1.868,47,1.911
M,Nakamba,4.5,4.5,Aston Villa,45,1.412,30,0.952,29,0.779,30,0.928,34,0.922,32,0.894
M,El Ghazi,6.0,6.0,Aston Villa,52,3.153,49,2.918,47,1.778,48,2.659,51,2.066,49,2.142
M,Buendía,6.5,6.5,Aston Villa,73,3.73,71,3.538,70,2.27,69,3.223,68,2.387,67,2.491
D,Cash,5.0,5.0,Aston Villa,87,3.648,84,3.279,81,1.316,82,2.949,82,1.429,79,1.813
D,Konsa,5.0,5.0,Aston Villa,88,3.517,86,3.204,85,1.38,84,2.902,81,1.393,81,1.817
D,Guilbert,4.5,4.5,Aston Villa,2,0.08,5,0.188,7,0.118,7,0.243,6,0.108,9,0.206
F,Wesley,5.5,5.5,Aston Villa,13,0.738,10,0.561,11,0.435,9,0.484,11,0.467,11,0.488
F,Samatta,5.5,5.5,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
F,Davis,4.5,4.5,Aston Villa,0,0,1,0.053,2,0.078,3,0.152,3,0.124,3,0.129
M,Douglas Luiz,4.5,4.5,Aston Villa,41,1.337,72,2.282,70,1.743,70,2.136,68,1.758,70,1.876
M,Ramsey,4.5,4.5,Aston Villa,15,0.621,12,0.564,13,0.399,17,0.626,17,0.535,17,0.554
D,Young,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0
M,Lallana,5.5,5.5,Brighton,44,2.024,46,1.936,44,1.756,41,1.615,41,1.681,41,1.671
G,Steele,4.0,4.0,Brighton,0,0,0,0,0,0,1,0.041,0,0,3,0.127
M,Groß,6.0,6.0,Brighton,81,4.535,78,4.032,71,3.456,71,3.389,67,3.314,68,3.374
D,Duffy,4.0,4.0,Brighton,64,3.31,42,1.802,32,1.221,33,1.212,28,1.239,33,1.28
M,Pröpper,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,Burn,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,Dunk,5.0,5.0,Brighton,88,4.71,87,3.845,86,3.363,82,3.055,82,3.726,79,3.134
M,March,5.5,5.5,Brighton,83,3.222,81,2.891,81,2.788,77,2.651,76,2.725,75,2.661
D,Webster,4.5,4.5,Brighton,86,4.12,83,3.263,82,2.886,82,2.798,79,3.257,79,2.832
D,Veltman,4.5,4.5,Brighton,48,2.292,77,3.008,74,2.581,72,2.427,72,2.927,69,2.428
F,Maupay,6.5,6.5,Brighton,82,4.151,79,3.739,76,3.465,73,3.29,71,3.264,74,3.469
M,Trossard,6.5,6.5,Brighton,70,3.517,70,3.177,66,2.899,63,2.734,61,2.721,62,2.808
G,Ryan,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
M,Jahanbakhsh,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Arsenal,86,2.211,81,1.317,82,3.812,78,3.076,77,2.57,77,2.526
D,Bernardo,4.0,4.0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0
G,Sánchez,4.5,4.5,Brighton,89,4.344,88,3.918,88,3.752,86,3.629,86,3.93,85,3.657
M,Bissouma,4.5,4.5,Brighton,86,2.891,82,2.554,80,2.446,81,2.448,79,2.536,76,2.358
D,Lamptey,4.5,4.5,Brighton,0,0,0,0,28,1.017,54,1.894,68,2.873,70,2.6
F,Connolly,5.5,5.5,Brighton,48,2.456,52,2.501,41,1.928,36,1.7,31,1.503,27,1.335
M,Alzate,5.0,5.0,Brighton,1,0.04,1,0.037,2,0.074,2,0.072,7,0.262,1,0.037
M,Mac Allister,5.5,5.5,Brighton,36,1.633,35,1.462,34,1.36,28,1.146,26,1.114,26,1.102
M,Moder,4.5,4.5,Brighton,1,0.041,1,0.038,2,0.074,0,0,1,0.038,1,0.037
D,Jansson,4.5,4.5,Brentford,88,3.113,84,2.167,83,2.905,83,2.54,82,1.637,80,1.882
M,Nørgaard,5.0,5.0,Brentford,85,2.602,81,2.363,78,2.452,78,2.331,78,2.145,78,2.221
F,Toney,6.5,6.5,Brentford,86,4.333,82,4.25,82,4.334,80,3.905,79,3.447,77,3.69
M,Fosu,5.4,5.4,Brentford,6,0.256,6,0.257,5,0.221,7,0.292,7,0.271,7,0.286
G,Raya,4.5,4.5,Brentford,89,3.777,87,3.257,87,3.645,87,3.432,87,3.118,86,3.165
M,Canós,5.5,5.5,Brentford,44,1.979,49,2.048,48,2.112,45,1.852,45,1.689,47,1.859
M,Dasilva,5.5,5.5,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
D,Henry,4.5,4.5,Brentford,59,2.262,55,1.566,53,2.018,54,1.788,55,1.227,53,1.378
M,Janelt,5.0,5.0,Brentford,79,2.329,77,2.173,77,2.305,74,2.138,74,1.974,72,1.996
M,Ghoddos,5.5,5.5,Brentford,44,1.803,44,1.774,45,1.891,43,1.707,46,1.651,43,1.662
M,Jensen,5.0,5.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
D,Goode,4.0,4.0,Brentford,3,0.11,5,0.14,6,0.216,8,0.259,9,0.2,9,0.228
F,Forss,5.5,5.5,Brentford,4,0.203,5,0.262,7,0.366,8,0.416,9,0.424,10,0.482
D,Roerslev,4.5,4.5,Brentford,50,1.953,52,1.505,52,1.998,51,1.713,55,1.241,53,1.395
D,Sørensen,4.5,4.5,Brentford,34,1.239,38,1.03,40,1.438,42,1.335,38,0.81,43,1.067
D,Pinnock,4.5,4.5,Brentford,85,3.262,82,2.312,82,3.073,79,2.6,79,1.739,77,1.976
G,Balcombe,4.0,4.0,Brentford,0,0,0,0,0,0,0,0,0,0,0,0
M,Zamburek,4.5,4.5,Brentford,47,1.687,47,1.648,47,1.705,50,1.716,49,1.561,50,1.656
G,Gunnarsson,4.0,4.0,Brentford,0,0,1,0.037,0,0,0,0,0,0,2,0.074
F,Dervişoğlu,5.5,5.5,Brentford,6,0.29,8,0.402,9,0.448,9,0.433,10,0.448,12,0.561
M,Mbeumo,5.5,5.5,Brentford,81,4.02,80,3.91,76,3.93,77,3.687,76,3.227,74,3.355
M,Bidstrup,4.5,4.5,Brentford,6,0.208,8,0.272,8,0.28,9,0.3,9,0.289,11,0.362
D,Tarkowski,5.0,5.0,Burnley,89,1.295,86,2.694,85,2.242,82,2.508,81,1.741,82,3.611
D,Bardsley,4.0,4.0,Burnley,1,0.015,3,0.087,14,0.353,18,0.511,9,0.185,9,0.363
D,Pieters,4.5,4.5,Burnley,2,0.032,6,0.177,6,0.156,10,0.293,22,0.476,12,0.491
M,Cork,4.5,4.5,Burnley,70,1.806,67,2.107,67,1.927,65,1.967,67,1.85,67,2.274
M,Stephens,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
D,Long,4.0,4.0,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
F,Rodriguez,5.5,5.5,Burnley,30,1.089,32,1.59,32,1.32,35,1.547,34,1.335,36,1.883
F,Barnes,5.5,5.5,Burnley,12,0.435,14,0.692,17,0.697,20,0.869,18,0.703,17,0.899
D,Mee,5.0,5.0,Burnley,89,1.334,84,2.614,84,2.23,83,2.536,83,1.796,81,3.566
M,Westwood,5.5,5.5,Burnley,87,2.24,84,2.808,80,2.409,82,2.583,80,2.289,78,2.936
M,Gudmundsson,5.5,5.5,Burnley,45,1.385,47,1.865,51,1.763,51,1.877,53,1.733,51,2.2
F,Wood,7.0,7.0,Burnley,79,2.789,77,4.174,76,3.248,74,3.515,71,2.842,73,4.23
D,Lowton,4.5,4.5,Burnley,88,1.298,86,2.634,85,2.229,81,2.454,81,1.739,81,3.507
F,Vydra,5.5,5.5,Burnley,42,1.514,43,2.184,43,1.796,44,1.967,45,1.77,44,2.341
G,Pope,5.5,5.5,Burnley,89,3.222,88,3.604,87,3.376,87,3.499,86,3.205,86,3.987
D,Taylor,4.5,4.5,Burnley,87,1.3,83,2.492,83,2.176,80,2.41,80,1.732,78,3.32
G,Norris,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
M,Brownhill,4.5,4.5,Burnley,66,1.902,66,2.432,64,2.083,63,2.19,62,1.923,62,2.49
M,Benson,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
G,Peacock-Farrell,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0,0,0
M,McNeil,6.0,6.0,Burnley,85,2.445,84,3.254,79,2.685,79,2.865,78,2.503,79,3.399
D,Azpilicueta,6.0,6.0,Chelsea,54,2.466,50,1.588,52,2.801,53,2.183,52,1.923,53,2.99
F,Giroud,6.5,6.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
D,Thiago Silva,5.5,5.5,Chelsea,52,2.278,54,1.652,56,2.902,50,1.998,55,1.966,52,2.798
D,Alonso,5.6,5.6,Chelsea,35,2.095,38,1.612,37,2.774,35,1.903,38,1.855,39,3.028
M,Jorginho,6.0,6.0,Chelsea,68,2.413,71,2.184,68,2.821,68,2.294,65,2.122,67,2.831
M,Barkley,5.5,5.5,Chelsea,1,0.045,1,0.04,0,0,1,0.043,1,0.041,1,0.054
M,Kovacic,5.0,5.0,Chelsea,52,1.892,45,1.467,47,1.966,47,1.644,43,1.456,43,1.833
F,Batshuayi,5.5,5.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
D,Rüdiger,5.5,5.5,Chelsea,82,3.702,80,2.48,79,4.257,78,3.198,77,2.796,75,4.211
D,Zouma,5.5,5.5,Chelsea,41,1.888,37,1.185,39,2.118,40,1.661,38,1.413,45,2.544
G,Arrizabalaga,5.0,5.0,Chelsea,1,0.044,1,0.039,2,0.096,2,0.085,3,0.123,3,0.147
M,Kanté,5.0,5.0,Chelsea,32,1.146,38,1.206,39,1.6,41,1.397,42,1.367,40,1.636
M,Ziyech,7.4,7.4,Chelsea,0,0,6,0.264,27,1.719,25,1.211,28,1.285,27,1.77
M,Loftus-Cheek,5.5,5.5,Chelsea,1,0.042,1,0.037,2,0.098,2,0.08,2,0.076,3,0.148
D,Christensen,5.0,5.0,Chelsea,50,2.056,52,1.49,50,2.404,50,1.869,50,1.671,49,2.456
F,Werner,9.0,9.0,Chelsea,45,2.379,42,1.969,39,2.569,40,2.025,41,1.98,40,2.684
D,Chilwell,6.0,6.0,Chelsea,60,3.031,56,1.965,56,3.454,58,2.658,55,2.264,54,3.433
F,Abraham,6.5,6.5,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0
M,Pulisic,8.0,8.0,Chelsea,52,2.597,49,2.108,48,2.956,48,2.267,46,2.049,45,2.816
M,Mount,7.5,7.5,Chelsea,75,3.906,73,3.179,68,4.436,67,3.306,69,3.168,68,4.516
D,Ampadu,4.5,4.5,Chelsea,0,0,0,0,0,0,1,0.038,1,0.034,1,0.049
M,Hudson-Odoi,5.5,5.5,Chelsea,9,0.448,10,0.433,7,0.421,8,0.38,7,0.313,8,0.487
M,Havertz,8.4,8.4,Chelsea,58,3.181,56,2.589,55,3.889,54,2.81,48,2.353,57,4.008
D,James,5.5,5.5,Chelsea,73,3.918,74,2.77,71,4.714,69,3.359,69,3.032,67,4.6
G,Mendy,6.0,6.0,Chelsea,88,4.013,88,3.488,87,4.243,87,3.8,86,3.644,85,4.255
M,Gallagher,5.5,5.5,Crystal Palace,28,1.098,25,0.861,31,1.092,26,0.798,26,0.966,26,0.929
M,Gilmour,4.5,4.5,Norwich,70,1.691,68,1.872,67,1.772,64,1.999,65,1.77,66,1.9
G,Guaita,4.5,4.5,Crystal Palace,89,3.807,87,3.207,86,3.288,85,2.996,87,3.627,86,3.288
D,Tomkins,4.5,4.5,Crystal Palace,0,0,1,0.025,1,0.029,1,0.016,6,0.213,3,0.087
M,McArthur,4.5,4.5,Crystal Palace,79,2.715,75,2.241,75,2.297,75,1.988,73,2.412,71,2.221
F,Benteke,6.5,6.5,Crystal Palace,74,3.428,73,2.835,68,2.809,68,2.344,68,3.047,68,2.875
D,Kouyaté,4.5,4.5,Crystal Palace,83,3.113,81,1.964,78,2.229,80,1.118,78,2.798,77,2.192
D,Kelly,4.0,4.0,Crystal Palace,7,0.264,8,0.204,11,0.327,10,0.156,15,0.543,13,0.381
M,Milivojevic,5.5,5.5,Crystal Palace,27,1.149,46,1.647,42,1.571,39,1.222,41,1.621,40,1.513
F,Ayew,6.0,6.0,Crystal Palace,73,2.915,70,2.424,68,2.415,64,2.008,60,2.274,61,2.248
M,Zaha,7.0,7.0,Crystal Palace,85,4.225,82,3.243,82,3.38,79,2.656,78,3.527,75,3.194
M,Schlupp,5.5,5.5,Crystal Palace,62,2.312,59,1.939,56,1.913,54,1.589,53,1.92,52,1.799
G,Butland,4.5,4.5,Crystal Palace,0,0,1,0.037,2,0.077,3,0.106,0,0,0,0
M,Riedewald,5.0,5.0,Crystal Palace,71,2.204,67,1.885,62,1.809,64,1.643,62,1.901,62,1.798
D,Jach,4.5,4.5,Crystal Palace,0,0,0,0,0,0,1,0.016,1,0.035,1,0.029
F,Mateta,5.5,5.5,Crystal Palace,20,1.011,22,0.955,22,0.972,23,0.879,21,0.994,22,0.986
M,Eze,6.0,6.0,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
D,Ferguson,4.5,4.5,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0
D,Mitchell,4.5,4.5,Crystal Palace,89,3.316,85,2.051,84,2.389,83,1.16,80,2.836,79,2.238
M,Delph,4.5,4.5,Everton,0,0,0,0,0,0,0,0,0,0,0,0
M,Sigurdsson,7.0,7.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0
D,Coleman,5.0,5.0,Everton,78,2.297,75,2.512,72,3.484,73,2.28,73,3.539,69,1.44
M,James,7.0,7.0,Everton,56,3.012,63,3.052,61,3.84,61,3.199,61,4.126,59,2.456
M,Bernard,5.5,5.5,Everton,0,0,0,0,0,0,0,0,0,0,0,0
D,Digne,5.5,5.5,Everton,88,3.036,85,3.148,85,4.616,83,2.971,82,4.555,81,1.883
D,Keane,5.0,5.0,Everton,78,2.306,79,2.662,75,3.639,77,2.424,72,3.506,73,1.542
G,Pickford,5.0,5.0,Everton,89,3.461,88,3.584,87,4.102,87,3.431,85,3.923,86,3.1
M,Allan,4.5,4.5,Everton,85,2.326,83,2.262,80,2.571,79,2.196,78,2.599,78,1.948
M,André Gomes,5.0,5.0,Everton,9,0.301,9,0.294,13,0.484,16,0.537,14,0.522,17,0.513
M,Doucouré,5.5,5.5,Everton,83,2.692,81,2.522,79,3.008,78,2.532,77,3.086,76,2.157
M,Iwobi,6.0,6.0,Everton,33,1.403,32,1.282,32,1.543,31,1.31,32,1.628,37,1.33
D,Mina,5.0,5.0,Everton,33,0.999,30,1.016,34,1.666,32,1.027,32,1.585,33,0.71
M,Davies,5.0,5.0,Everton,2,0.064,3,0.094,6,0.212,5,0.16,6,0.22,6,0.177
F,Calvert-Lewin,8.0,8.0,Everton,82,3.994,80,3.425,78,4.23,77,3.638,76,4.492,75,2.857
D,Holgate,4.5,4.5,Everton,37,0.992,40,1.227,39,1.754,40,1.154,41,1.857,44,0.842
D,Godfrey,5.0,5.0,Everton,41,1.176,46,1.504,49,2.294,49,1.492,51,2.389,51,1.049
F,Richarlison,7.6,7.6,Everton,78,3.736,75,3.169,76,4.026,74,3.432,74,4.264,69,2.623
G,Virgínia,4.0,4.0,Everton,0,0,0,0,0,0,0,0,0,0,0,0
M,Hernández,5.5,5.5,Leeds,0,0,0,0,0,0,0,0,0,0,0,0
G,Casilla,4.5,4.5,Leeds,0,0,0,0,0,0,0,0,0,0,0,0
D,Cooper,4.5,4.5,Leeds,80,2.545,71,2.412,66,1.303,65,2.005,63,1.936,65,2.724
D,Ayling,4.5,4.5,Leeds,86,2.995,83,3.057,78,1.714,78,2.649,79,2.692,77,3.587
M,Klich,5.5,5.5,Leeds,73,2.849,73,2.825,72,2.409,72,2.825,69,2.762,68,3.049
F,Rodrigo,6.5,6.5,Leeds,47,2.333,50,2.307,45,1.962,48,2.503,49,2.547,50,2.876
M,Dallas,5.5,5.5,Leeds,82,2.859,78,2.739,79,2.414,76,2.685,76,2.709,76,3.011
F,Bamford,8.0,8.0,Leeds,80,4.574,78,4.356,76,3.564,74,4.297,74,4.378,72,4.71
D,Llorente,4.5,4.5,Leeds,0,0,21,0.739,61,1.24,63,2.019,63,2.004,63,2.735
M,Phillips,5.0,5.0,Leeds,76,2.438,74,2.391,72,2.054,70,2.291,72,2.376,70,2.573
M,Costa,5.5,5.5,Leeds,22,0.997,23,1.039,25,0.977,25,1.131,27,1.224,29,1.439
M,Roberts,5.0,5.0,Leeds,21,0.92,22,0.954,24,0.91,27,1.182,27,1.27,27,1.344
D,Koch,4.5,4.5,Leeds,46,1.576,44,1.617,40,0.881,39,1.326,41,1.386,42,1.92
M,Poveda,4.5,4.5,Leeds,2,0.09,4,0.175,5,0.198,4,0.183,7,0.319,7,0.356
M,Raphinha,6.5,6.5,Leeds,81,4.494,80,4.357,50,2.331,76,4.31,76,4.371,75,4.866
M,Shackleton,4.5,4.5,Leeds,1,0.034,1,0.034,1,0.032,2,0.069,2,0.069,2,0.074
D,Struijk,4.5,4.5,Leeds,62,2.083,56,2.003,39,0.829,41,1.347,40,1.296,44,1.935
G,Meslier,5.0,5.0,Leeds,89,3.702,88,3.778,87,3.199,88,3.627,86,3.483,86,3.88
G,Schmeichel,5.0,5.0,Leicester,89,3.496,88,3.91,87,3.256,87,3.68,87,4.2,86,3.886
D,Evans,5.5,5.5,Leicester,0,0,0,0,30,0.762,65,2.36,79,3.994,78,3.438
M,Albrighton,5.5,5.5,Leicester,25,1.048,27,1.26,27,1.002,30,1.214,28,1.392,30,1.339
M,Mendy,4.5,4.5,Leicester,1,0.03,4,0.13,2,0.058,3,0.092,4,0.135,4,0.128
G,Ward,4.0,4.0,Leicester,0,0,0,0,1,0.038,1,0.043,1,0.049,2,0.091
F,Vardy,10.5,10.5,Leicester,77,4.271,76,4.827,76,3.496,72,3.791,72,4.867,73,4.298
M,Praet,5.0,5.0,Leicester,3,0.109,3,0.119,3,0.101,3,0.109,3,0.126,5,0.194
D,Pereira,5.5,5.5,Leicester,83,2.641,79,3.495,79,2.093,78,2.907,77,3.963,76,3.395
D,Amartey,4.0,4.0,Leicester,75,2.27,74,3.159,51,1.312,30,1.088,19,0.932,23,0.991
D,Castagne,5.5,5.5,Leicester,81,2.562,77,3.401,76,2.009,74,2.763,75,3.856,73,3.273
M,Tielemans,6.5,6.5,Leicester,84,3.084,80,3.338,80,2.606,79,2.873,77,3.49,77,3.103
M,Pérez,6.0,6.0,Leicester,66,2.893,64,3.242,61,2.347,61,2.678,62,3.411,61,2.968
M,Maddison,7.0,7.0,Leicester,61,3.075,67,3.952,68,2.834,66,3.223,66,4.17,64,3.519
F,Iheanacho,7.4,7.4,Leicester,38,2.009,34,2.027,37,1.636,39,1.963,38,2.374,37,1.999
M,Choudhury,4.5,4.5,Leicester,0,0,2,0.072,2,0.062,3,0.099,4,0.155,4,0.144
M,Barnes,7.0,7.0,Leicester,78,3.789,74,4.175,71,2.929,71,3.382,70,4.25,69,3.697
M,Ndidi,5.0,5.0,Leicester,84,2.416,81,2.674,82,2.183,79,2.347,78,2.772,79,2.545
D,Söyüncü,5.0,5.0,Leicester,89,2.675,86,3.638,83,2.081,78,2.767,79,3.875,76,3.25
D,Justin,5.0,5.0,Leicester,0,0,0,0,0,0,0,0,0,0,0,0
D,Thomas,4.5,4.5,Leicester,12,0.372,18,0.76,17,0.447,20,0.723,20,0.977,22,0.945
D,Fofana,4.5,4.5,Leicester,0,0,0,0,0,0,0,0,0,0,0,0
M,Milner,5.0,5.0,Liverpool,20,1.013,23,0.887,20,0.896,22,1.106,20,0.904,22,0.833
M,Henderson,5.0,5.0,Liverpool,55,2.325,67,2.248,66,2.447,66,2.835,64,2.444,61,2.035
G,Adrián,4.5,4.5,Liverpool,0,0,1,0.041,1,0.041,2,0.1,2,0.088,3,0.117
D,Matip,5.0,5.0,Liverpool,78,4.491,74,2.651,69,2.706,73,4.179,70,3.191,69,2.218
M,Thiago,5.5,5.5,Liverpool,76,3.035,73,2.305,71,2.495,71,2.912,71,2.559,70,2.169
M,Shaqiri,6.0,6.0,Liverpool,3,0.183,3,0.141,4,0.223,4,0.245,5,0.277,5,0.227
M,Chamberlain,6.0,6.0,Liverpool,2,0.09,2,0.073,2,0.081,3,0.142,2,0.082,3,0.108
F,Firmino,9.0,9.0,Liverpool,52,2.947,53,2.38,53,2.831,57,3.302,54,2.85,56,2.462
D,van Dijk,6.5,6.5,Liverpool,86,5.159,86,3.262,85,3.541,83,4.96,81,3.879,80,2.738
M,Mané,12.0,12.0,Liverpool,81,5.88,79,4.099,77,4.873,76,5.702,75,4.808,74,3.71
G,Alisson,6.0,6.0,Liverpool,89,4.681,87,3.692,87,3.678,87,4.52,86,3.934,86,3.506
M,Fabinho,5.5,5.5,Liverpool,72,2.715,67,2.037,69,2.281,67,2.564,67,2.286,68,1.998
M,Salah,12.5,12.5,Liverpool,88,7.901,86,5.205,80,6.462,82,7.616,81,6.37,80,4.815
D,Robertson,7.0,7.0,Liverpool,0,0,0,0,28,1.29,54,3.539,79,4.123,76,2.806
F,Origi,5.0,5.0,Liverpool,2,0.13,3,0.155,4,0.243,4,0.266,5,0.298,6,0.301
M,Minamino,5.4,5.4,Liverpool,2,0.118,2,0.091,3,0.16,3,0.18,3,0.159,4,0.178
D,Alexander-Arnold,7.5,7.5,Liverpool,88,6.869,87,4.203,85,4.697,83,6.328,82,4.928,81,3.395
D,Gomez,5.0,5.0,Liverpool,2,0.098,4,0.129,6,0.205,9,0.443,11,0.439,9,0.264
M,Keita,5.0,5.0,Liverpool,30,1.468,26,0.98,27,1.158,28,1.384,31,1.346,31,1.131
M,Jota,7.5,7.5,Liverpool,56,4.047,57,2.976,72,4.534,57,4.315,54,3.521,57,2.872
D,Phillips,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
G,Kelleher,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
D,Konaté,5.4,5.4,Liverpool,11,0.574,17,0.574,20,0.725,18,0.934,22,0.918,24,0.724
M,Jones,5.0,5.0,Liverpool,3,0.135,4,0.145,4,0.161,3,0.135,4,0.162,5,0.178
D,Tsimikas,4.1,4.0,Liverpool,80,4.757,72,2.653,58,2.386,42,2.51,9,0.423,11,0.372
D,N.Williams,4.0,4.0,Liverpool,0,0,1,0.036,2,0.079,3,0.167,4,0.182,3,0.099
D,R.Williams,4.5,4.5,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
D,Davies,4.0,4.0,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0
D,Walker,5.5,5.5,Man City,69,4.085,73,3.565,71,2.888,71,3.894,70,2.325,73,2.316
M,Gündogan,7.5,7.5,Man City,44,2.557,69,3.456,66,2.841,65,3.637,65,2.404,64,2.45
M,De Bruyne,12.0,12.0,Man City,65,5.624,67,4.91,66,3.942,65,5.437,64,3.12,64,3.375
D,Stones,5.5,5.5,Man City,64,4.075,71,3.751,72,3.194,72,4.268,68,2.434,70,2.41
D,Mendy,5.5,5.5,Man City,29,1.805,29,1.487,32,1.382,33,1.915,33,1.148,29,0.965
M,Mahrez,9.0,9.0,Man City,75,6.211,69,4.829,63,3.709,62,4.973,62,3.03,61,3.179
